-0.1499,1.3622
-0.8215,-3.1814
0.532,-4.896
-0.1004,3.9863
-1.4723,-1.266
2.2113,2.8878
-1.0634,-5.6841
-0.5643,-2.1491
1.6142,0.7189
0.5276,3.1895
-1.1196,-2.2893
1.5481,-2.5196
-0.4468,-0.1952
0.8246,-0.5811
1.4149,-4.1516
-0.2163,0.4948
0.2184,1.4004
-0.2527,-1.0884
0.6564,-2.7476
-0.9563,-1.6823
1.3291,0.5245
-0.6081,-0.1529
1.9367,1.2772
0.3822,-4.5913
1.1615,0.6485
-0.1867,3.1335
0.8066,-5.3269
-0.9467,-2.6411
-0.9109,3.6314
0.3358,4.4362
0.3073,1.0091
-1.7764,-5.1812
0.568,0.6816
-0.8215,0.2612
-0.082,0.0598
1.014,-3.0268
0.5887,-5.4716
1.0097,1.2153
0.1014,-3.1791
0.6621,6.8658
0.5392,0.3181
2.1909,0.2725
-0.0856,3.1105
-0.3908,0.7979
-1.4061,3.8259
1.4587,-5.0746
0.4683,6.8088
0.6573,0.3565
0.1712,-2.0462
0.6266,0.123
-0.507,-4.9268
-0.6756,2.6721
2.0421,-3.1413
-0.5789,0.1205
0.7293,-5.3517
-0.2988,2.2109
-0.0245,-3.4856
-0.9421,-2.6432
-1.0514,-0.3264
0.608,0.78
-1.3682,-2.6552
-0.9403,4.9372
0.213,-2.0869
-0.2563,1.8954
-0.401,1.4572
1.4263,-3.0711
1.696,7.8691
1.8334,0.4484
-0.4773,1.1248
-0.0944,1.4748
-0.8983,-3.1089
-1.8465,2.5363
-1.6296,1.9104
-1.8388,-6.7077
-0.1962,6.2195
1.4193,0.2738
-1.3915,2.9541
0.1842,2.748
0.0243,-1.0805
-0.886,4.0471
-0.0097,1.2677
-0.8023,-5.6831
1.2973,0.611
0.5972,3.1665
1.8012,-2.5781
-1.0064,0.6807
0.8962,-0.5784
0.8869,0.0241
0.4005,3.4902
0.1355,-2.7123
1.8593,0.1428
-0.1348,-5.1429
0.3351,-1.8471
1.1149,-7.7083
-1.8447,0.0435
0.609,-1.1419
0.0032,-5.0326
